order_id,item_id,order_date,paid_at,completed_at,user_id,shipping_id,sku,product_name,variant,quantity,unit_price,original_unit_price,seller_discount,platform_discount,gross_revenue,refund_amount,platform_fee,affiliate_commission,shipping_cost_seller,other_variable_cost,allocated_ad_cost,order_status,payment_status
FB-001,FB-I001,2026-07-13 09:15,2026-07-13 09:16,2026-07-16 14:00,fb-u01,FB-SHIP-001,BAKA-01,BAKA Resistant Starch 500g,500g,1,139000,149000,10000,0,139000,0,7000,0,18000,2000,12000,COMPLETED,PAID
FB-002,FB-I002,2026-07-14 10:20,2026-07-14 10:21,2026-07-17 16:00,fb-u02,FB-SHIP-002,BAKA-02,BAKA Resistant Starch 1kg,1kg,2,259000,279000,20000,0,518000,0,26000,52000,20000,3000,24000,COMPLETED,PAID
FB-003,FB-I003A,2026-07-15 11:30,2026-07-15 11:31,2026-07-18 17:00,fb-u03,FB-SHIP-003,BAKA-01,BAKA Resistant Starch 500g,500g,1,139000,149000,10000,0,139000,0,7000,0,18000,2000,10000,COMPLETED,PAID
FB-003,FB-I003B,2026-07-15 11:30,2026-07-15 11:31,2026-07-18 17:00,fb-u03,FB-SHIP-003,BAKA-03,BAKA Daily Sachets,30 gói,1,199000,219000,20000,0,199000,0,10000,0,0,1000,10000,COMPLETED,PAID
FB-004,FB-I004,2026-07-16 12:00,2026-07-16 12:01,,fb-u04,,BAKA-01,BAKA Resistant Starch 500g,500g,1,139000,149000,10000,0,139000,139000,7000,0,0,0,8000,REFUNDED,REFUNDED
FB-005,FB-I005,2026-07-17 13:00,2026-07-17 13:01,2026-07-20 13:00,fb-u05,FB-SHIP-005,,BAKA Trial Product,Trial,1,99000,99000,0,0,99000,0,5000,0,17000,1000,6000,COMPLETED,PAID
FB-006,FB-I006,2026-07-18 14:00,2026-07-18 14:01,2026-07-21 13:00,fb-u06,FB-SHIP-006,BAKA-03,BAKA Daily Sachets,30 gói,1,199000,219000,20000,0,199000,0,10000,20000,18000,1000,9000,COMPLETED,PAID
FB-006,FB-I006,2026-07-18 14:00,2026-07-18 14:01,2026-07-21 13:00,fb-u06,FB-SHIP-006,BAKA-03,BAKA Daily Sachets,30 gói,1,199000,219000,20000,0,199000,0,10000,20000,18000,1000,9000,COMPLETED,PAID
FB-007,FB-I007,not-a-date,,,fb-u07,FB-SHIP-007,BAKA-01,BAKA Resistant Starch 500g,500g,0,139000,149000,0,0,abc,0,0,0,0,0,0,PENDING,UNPAID

