order_id,item_id,order_date,paid_at,completed_at,user_id,shipping_id,sku,product_name,variant,quantity,unit_price,original_unit_price,seller_discount,platform_discount,gross_revenue,refund_amount,platform_fee,affiliate_commission,shipping_cost_seller,other_variable_cost,allocated_ad_cost,order_status,payment_status
OT-001,OT-I001,2026-07-25 09:15,2026-07-25 09:16,2026-07-28 14:00,ot-u01,OT-SHIP-001,BAKA-01,BAKA Resistant Starch 500g,500g,1,139000,149000,10000,0,139000,0,7000,0,18000,2000,12000,COMPLETED,PAID
OT-002,OT-I002,2026-07-26 10:20,2026-07-26 10:21,2026-07-29 16:00,ot-u02,OT-SHIP-002,BAKA-02,BAKA Resistant Starch 1kg,1kg,2,259000,279000,20000,0,518000,0,26000,52000,20000,3000,24000,COMPLETED,PAID
OT-003,OT-I003A,2026-07-27 11:30,2026-07-27 11:31,2026-07-30 17:00,ot-u03,OT-SHIP-003,BAKA-01,BAKA Resistant Starch 500g,500g,1,139000,149000,10000,0,139000,0,7000,0,18000,2000,10000,COMPLETED,PAID
OT-003,OT-I003B,2026-07-27 11:30,2026-07-27 11:31,2026-07-30 17:00,ot-u03,OT-SHIP-003,BAKA-03,BAKA Daily Sachets,30 gói,1,199000,219000,20000,0,199000,0,10000,0,0,1000,10000,COMPLETED,PAID
OT-004,OT-I004,2026-07-28 12:00,2026-07-28 12:01,,ot-u04,,BAKA-01,BAKA Resistant Starch 500g,500g,1,139000,149000,10000,0,139000,139000,7000,0,0,0,8000,REFUNDED,REFUNDED
OT-005,OT-I005,2026-07-29 13:00,2026-07-29 13:01,2026-08-01 13:00,ot-u05,OT-SHIP-005,,BAKA Trial Product,Trial,1,99000,99000,0,0,99000,0,5000,0,17000,1000,6000,COMPLETED,PAID
OT-006,OT-I006,2026-07-30 14:00,2026-07-30 14:01,2026-08-02 13:00,ot-u06,OT-SHIP-006,BAKA-03,BAKA Daily Sachets,30 gói,1,199000,219000,20000,0,199000,0,10000,20000,18000,1000,9000,COMPLETED,PAID
OT-006,OT-I006,2026-07-30 14:00,2026-07-30 14:01,2026-08-02 13:00,ot-u06,OT-SHIP-006,BAKA-03,BAKA Daily Sachets,30 gói,1,199000,219000,20000,0,199000,0,10000,20000,18000,1000,9000,COMPLETED,PAID
OT-007,OT-I007,not-a-date,,,ot-u07,OT-SHIP-007,BAKA-01,BAKA Resistant Starch 500g,500g,0,139000,149000,0,0,abc,0,0,0,0,0,0,PENDING,UNPAID

