order_id,item_id,order_date,paid_at,completed_at,user_id,shipping_id,sku,product_name,variant,quantity,unit_price,original_unit_price,seller_discount,platform_discount,gross_revenue,refund_amount,platform_fee,affiliate_commission,shipping_cost_seller,other_variable_cost,allocated_ad_cost,order_status,payment_status
SP-001,SP-I001,2026-07-07 09:15,2026-07-07 09:16,2026-07-10 14:00,sp-u01,SP-SHIP-001,BAKA-01,Tinh bột kháng BAKA 500g,500g,1,139000,149000,10000,0,139000,0,7000,0,18000,2000,12000,COMPLETED,PAID
SP-002,SP-I002,2026-07-08 10:20,2026-07-08 10:21,2026-07-11 16:00,sp-u02,SP-SHIP-002,BAKA-02,Tinh bột kháng BAKA 1kg,1kg,2,259000,279000,20000,0,518000,0,26000,52000,20000,3000,24000,COMPLETED,PAID
SP-003,SP-I003A,2026-07-09 11:30,2026-07-09 11:31,2026-07-12 17:00,sp-u03,SP-SHIP-003,BAKA-01,Tinh bột kháng BAKA 500g,500g,1,139000,149000,10000,0,139000,0,7000,0,18000,2000,10000,COMPLETED,PAID
SP-003,SP-I003B,2026-07-09 11:30,2026-07-09 11:31,2026-07-12 17:00,sp-u03,SP-SHIP-003,BAKA-03,BAKA Daily Sachets,30 gói,1,199000,219000,20000,0,199000,0,10000,0,0,1000,10000,COMPLETED,PAID
SP-004,SP-I004,2026-07-10 12:00,2026-07-10 12:01,,sp-u04,,BAKA-01,Tinh bột kháng BAKA 500g,500g,1,139000,149000,10000,0,139000,139000,7000,0,0,0,8000,REFUNDED,REFUNDED
SP-005,SP-I005,2026-07-11 13:00,2026-07-11 13:01,2026-07-14 13:00,sp-u05,SP-SHIP-005,,Sản phẩm thử nghiệm,Trial,1,99000,99000,0,0,99000,0,5000,0,17000,1000,6000,COMPLETED,PAID
SP-006,SP-I006,2026-07-12 14:00,2026-07-12 14:01,2026-07-15 13:00,sp-u06,SP-SHIP-006,BAKA-03,BAKA Daily Sachets,30 gói,1,199000,219000,20000,0,199000,0,10000,20000,18000,1000,9000,COMPLETED,PAID
SP-006,SP-I006,2026-07-12 14:00,2026-07-12 14:01,2026-07-15 13:00,sp-u06,SP-SHIP-006,BAKA-03,BAKA Daily Sachets,30 gói,1,199000,219000,20000,0,199000,0,10000,20000,18000,1000,9000,COMPLETED,PAID
SP-007,SP-I007,not-a-date,,,sp-u07,SP-SHIP-007,BAKA-01,Tinh bột kháng BAKA 500g,500g,0,139000,149000,0,0,abc,0,0,0,0,0,0,PENDING,UNPAID

