order_id,item_id,order_date,paid_at,completed_at,user_id,shipping_id,sku,product_name,variant,quantity,unit_price,original_unit_price,seller_discount,platform_discount,gross_revenue,refund_amount,platform_fee,affiliate_commission,shipping_cost_seller,other_variable_cost,allocated_ad_cost,order_status,payment_status
TT-001,TT-I001,2026-07-01 09:15,2026-07-01 09:16,2026-07-04 14:00,tt-u01,TT-SHIP-001,BAKA-01,BAKA Resistant Starch 500g,500g,1,139000,149000,10000,0,139000,0,7000,0,18000,2000,12000,COMPLETED,PAID
TT-002,TT-I002,2026-07-02 10:20,2026-07-02 10:21,2026-07-05 16:00,tt-u02,TT-SHIP-002,BAKA-02,BAKA Resistant Starch 1kg,1kg,2,259000,279000,20000,0,518000,0,26000,52000,20000,3000,24000,COMPLETED,PAID
TT-003,TT-I003A,2026-07-03 11:30,2026-07-03 11:31,2026-07-06 17:00,tt-u03,TT-SHIP-003,BAKA-01,BAKA Resistant Starch 500g,500g,1,139000,149000,10000,0,139000,0,7000,0,18000,2000,10000,COMPLETED,PAID
TT-003,TT-I003B,2026-07-03 11:30,2026-07-03 11:31,2026-07-06 17:00,tt-u03,TT-SHIP-003,BAKA-03,BAKA Daily Sachets,30 gói,1,199000,219000,20000,0,199000,0,10000,0,0,1000,10000,COMPLETED,PAID
TT-004,TT-I004,2026-07-04 12:00,2026-07-04 12:01,,tt-u04,,BAKA-01,BAKA Resistant Starch 500g,500g,1,139000,149000,10000,0,139000,139000,7000,0,0,0,8000,REFUNDED,REFUNDED
TT-005,TT-I005,2026-07-05 13:00,2026-07-05 13:01,2026-07-08 13:00,tt-u05,TT-SHIP-005,,BAKA Trial Product,Trial,1,99000,99000,0,0,99000,0,5000,0,17000,1000,6000,COMPLETED,PAID
TT-006,TT-I006,2026-07-06 14:00,2026-07-06 14:01,2026-07-09 13:00,tt-u06,TT-SHIP-006,BAKA-03,BAKA Daily Sachets,30 gói,1,199000,219000,20000,0,199000,0,10000,20000,18000,1000,9000,COMPLETED,PAID
TT-006,TT-I006,2026-07-06 14:00,2026-07-06 14:01,2026-07-09 13:00,tt-u06,TT-SHIP-006,BAKA-03,BAKA Daily Sachets,30 gói,1,199000,219000,20000,0,199000,0,10000,20000,18000,1000,9000,COMPLETED,PAID
TT-007,TT-I007,not-a-date,,,tt-u07,TT-SHIP-007,BAKA-01,BAKA Resistant Starch 500g,500g,0,139000,149000,0,0,abc,0,0,0,0,0,0,PENDING,UNPAID

